id,Title,Content,Date,Categorieën,Tags
147,"Voorbeschouwing #04 | Storks, Miss Peregrine, Jack Reacher 2 en Inferno!","In deze voorbeschouwing <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Voorbeschouwing-04.mp3"">bespreken</a> Sander, Pim en Henk weer een aantal actuele trailers! Namelijk die van Storks, Miss Peregrine's Home for Peculiar Children, Jack Reacher: Never go back en Inferno!",20160727,Voorbeschouwing,podcast
151,"Favorieten #02 | Villains","In de Favorieten <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Favorieten02_Villains.mp3"">bespreken </a>we memorabele filmmomenten en acteerprestaties. In deze aflevering bespreken Pim, Henk &amp; Sander een aantal van hun favoriete badguys uit films en series.",20160730,Favorieten,podcast
154,"Review #17 | Jason Bourne","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-17-Finding-Dory.mp3"">bespreken</a> Sander, Pim en Henk het nieuwe deel in franchise van Jason Bourne!",20160806,Reviews,podcast
157,"Voorbeschouwing #03 | Comic-Con 2016","In deze aflevering van de <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Voorbeschouwing-Comic-Con-Special.mp3"">voorbeschouwing </a>kijken Sander, Henk en Pim naar de, maar liefst 7, trailers die uit de Comic Con voortkwamen!",20160810,Voorbeschouwing,podcast
160,"Review #18 | The Red Turtle","In deze aflevering van Filmerds <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-The-Red-Turtle.mp3"">bespreken </a>Sander en Pim The Red Turtle!",20160812,Reviews,podcast
164,"Review #19 | Suicide Squad","Pim, Gina en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-19-Suicide-Squad.mp3"">bespreken</a> de Suicide Squad!",20160817,Interview,podcast
167,"De Praattafel #06 | Merel heeft veel gekeken...","In aflevering 6 van de Praattafel <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Praattafel-06.mp3"">bespreken</a> Merel, Henk, Gina en Pim wat ze de afgelopen tijd hebben gekeken!

Merel heeft een aardige lijst, de rest heeft ook wat.",20160820,"De Praattafel",podcast
179,"Review | Star Trek Beyond","Merel en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-Star-Trek-Beyond.mp3"">bespreken </a>Star Trek Beyond!",20160823,Reviews,podcast
181,"Voorbeschouwing #06 | Arrival, Hidden Figures, Split & The Great Gilly Hopkins!","In deze voorbeschouwing <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Voorbeschouwing-06.mp3"">bespreken </a>Pim, Gina en Merel de trailers van Arrival, Hidden Figures, Split &amp; The Great Gilly Hopkins.",20160831,Voorbeschouwing,podcast
183,"Terugblik | Stranger Things Seizoen 1","Sander, Pim, Merel en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Terugblik-Stranger-Things.mp3"">bespreken </a>de nieuwe Netflix original; Stranger Things!",20160902,Terugblik,podcast
185,"Favorieten #03 | Sequels","In deze aflevering van de <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Favorieten-03-Sequels.mp3"">Favorieten </a>gaan Pim, Merel en Henk het hebben over hun favoriete sequels!",20160907,Favorieten,podcast
190,"Review | War Dogs","Henk en Pim <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-War-Dogs.mp3"">bespreken</a> in deze review de film War Dogs! Met in de hoofdrol Jonah Hill en Miles Teller.",20160910,Reviews,podcast
192,"Review | Sully","Sander, Pim en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-Sully.mp3"">bespreken</a> de nieuwe film van Clint Eastwood met Tom Hanks in de hoofdrol; Sully!",20160921,Reviews,podcast
194,"Praattafel #07 | Zootopia, Narcos, Heel Holland Bakt en meer!","Henk, Sander, Merel en Pim <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Praattafel-07.mp3"">bespreken</a> weer wat ze gezien hebben de afgelopen tijd!",20160924,"De Praattafel",podcast
197,"Review | The Magnificent Seven","Sander, Pim en Henk zijn het er helaas over eens dat deze versie van <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-The-Magnificent-Seven-.mp3"">The Magnificent Seven</a> niet zo sterk is!",20160928,Reviews,podcast
202,"Voorbeschouwing #07 | Passengers, Pirates of the Caribbean 5, Fences & A Dog's Purpose!","In deze voorbeschouwing <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Voorbeschouwing-Passengers.mp3"">bespreken</a> Pim, Gina en Sander de trailers van Passengers, Pirates of the Caribbean 5, Fences &amp; A Dog's Purpose!",20161005,Voorbeschouwing,podcast
204,"Review | The Neon Demon","In deze review van Filmerds <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-The-Neon-Demon.mp3"">bespreken</a> Sander, Gina en Pim (eindelijk) de nieuwe film van Nicolas Winding Refn; The Neon Demon!",20161008,Reviews,podcast
210,"Review | The Girl on the Train","In deze aflevering van Filmerds <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-The-Girl-of-the-Train-Podcast.mp3"">bespreken</a> Merel, Sander en Henk The Girl on the Train van Tate Taylor! Deze aflevering is geheel zonder spoilers!",20161015,Reviews,podcast
